Attempt,BASE-ESTATION-2,BASE-ESTATION,SENDER-UAV
1,-,2.71,21.95
2,-,9.21,1.12
3,-,20.02,0.51
4,-,8.26,19.59
5,-,1.63,8.98
6,-,3.91,19.76
7,-,10.3,20.72
8,-,10.89,4.16
9,-,14.63,0.95
10,-,11.61,20.05
11,-,1.27,0.7
12,-,13.5,16.19
13,-,8.7,12.18
14,-,24.62,17.82
15,-,11.36,3.84
16,-,5.7,22.76
17,-,1.36,9.69
18,-,24.1,24.86
19,-,14.71,20.42
20,-,15.69,14.38
21,-,9.06,20.91
22,-,20.2,0.56
23,-,3.99,7.75
24,-,6.26,12.75
25,-,16.95,16.56
26,-,14.05,24.25
27,-,22.63,5.99
28,-,15.29,3.94
29,-,10.22,24.81
30,-,4.66,25.0
