Attempt,BASE-ESTATION,BASE-ESTATION-2,RELAY-UAV,SENDER-UAV
1,-,18.92,15.05,9.65
2,-,11.5,17.93,6.18
3,-,22.89,0.53,4.4
4,-,2.97,21.74,5.86
5,-,3.33,22.92,19.98
6,-,11.68,1.46,21.98
7,-,24.44,2.04,9.68
8,-,2.95,9.93,13.34
9,-,8.57,0.14,1.58
10,-,21.15,12.54,7.26
11,-,24.78,9.44,2.31
12,-,13.88,8.96,23.88
13,-,0.28,15.52,9.2
14,-,11.34,24.57,0.69
15,-,23.82,19.94,24.78
16,-,10.12,2.12,6.78
17,-,21.28,18.99,15.08
18,-,9.31,24.33,2.36
19,-,3.34,10.24,14.67
20,-,23.48,12.61,4.07
21,-,14.65,5.5,0.53
22,-,17.01,6.78,0.09
23,-,14.61,22.53,23.87
24,-,9.58,1.3,6.97
25,-,4.5,16.09,17.87
26,-,3.91,17.72,4.11
27,-,9.26,19.01,9.42
28,-,2.18,22.71,18.76
29,-,2.44,12.84,9.84
30,-,5.16,7.23,12.32
31,-,20.94,12.39,16.03
